scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
CTRL-iii	w10	runlast_L	rev	19	3	0	0	28	0	64	0	0	0
CTRL-iii	w10	boldrun_first	fwd	7	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	boldrun_first	rev	7	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	boldrun_last	fwd	7	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	boldrun_last	rev	7	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	sent_emph_first	fwd	10	3	0	0	0	0	0	0	0	0
CTRL-iii	w10	sent_emph_first	rev	10	3	0	0	0	0	0	0	0	0
CTRL-iii	w10	sent_emph_last	fwd	10	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	sent_emph_last	rev	10	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	esent_first	fwd	10	1	0	0	0	0	0	0	0	0
CTRL-iii	w10	esent_first	rev	10	1	0	0	0	0	0	0	0	0
CTRL-iii	w10	esent_last	fwd	10	4	0	0	0	0	0	0	0	0
CTRL-iii	w10	esent_last	rev	10	4	0	0	0	0	0	0	0	0
CTRL-iii	w10	bar_all	fwd	38	11	9	1	53	0	273	2	0	0
CTRL-iii	w10	bar_all	rev	38	11	9	0	53	1	273	1	0	0
CTRL-iii	w10	orange	fwd	11	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	orange	rev	11	2	0	0	0	0	0	0	0	0
CTRL-iii	w10	black	fwd	0	0	0	0	0	0	0	0	0	0
CTRL-iii	w10	black	rev	0	0	0	0	0	0	0	0	0	0
CTRL-iii	w10	white	fwd	27	9	1	0	31	0	130	1	0	0
CTRL-iii	w10	white	rev	27	9	1	0	31	1	130	1	0	0
CTRL-iii	w10	under_strike	fwd	0	0	0	0	0	0	0	0	0	0
CTRL-iii	w10	under_strike	rev	0	0	0	0	0	0	0	0	0	0
CTRL-iii	w10	sent_first	fwd	16	1	0	0	18	0	30	0	0	0
CTRL-iii	w10	sent_first	rev	16	1	0	0	18	0	30	0	0	0
CTRL-iii	w10	sent_last	fwd	16	4	0	0	9	0	15	0	0	0
CTRL-iii	w10	sent_last	rev	16	4	0	0	9	0	15	0	0	0
CTRL-v	w10	emph	fwd	73	16	57	2	244	2	1443	6	14	0
CTRL-v	w10	emph	rev	73	16	57	1	244	6	1443	11	14	0
CTRL-v	w10	bold_nobar	fwd	26	7	1	1	29	0	117	0	3	0
CTRL-v	w10	bold_nobar	rev	26	7	1	0	29	0	117	0	3	0
CTRL-v	w10	nonemph	fwd	213	33	680	12	1203	1	7605	22	49	0
CTRL-v	w10	nonemph	rev	213	33	680	19	1203	10	7605	45	49	0
CTRL-v	w10	runfirst	fwd	18	2	0	0	24	0	49	0	0	0
CTRL-v	w10	runfirst	rev	18	2	0	0	24	0	49	0	0	0
CTRL-v	w10	runlast	fwd	18	4	0	0	13	0	28	0	0	0
CTRL-v	w10	runlast	rev	18	4	0	0	13	0	28	0	0	0
CTRL-v	w10	before	fwd	17	1	0	0	22	0	42	0	0	0
CTRL-v	w10	before	rev	17	1	0	0	22	0	42	0	0	0
CTRL-v	w10	after	fwd	17	2	0	0	22	0	42	0	0	0
CTRL-v	w10	after	rev	17	2	0	0	22	0	42	0	0	0
CTRL-v	w10	runfirst_L	fwd	21	3	0	0	36	0	100	1	0	0
CTRL-v	w10	runfirst_L	rev	21	3	0	0	36	0	100	0	0	0
CTRL-v	w10	runlast_L	fwd	21	4	0	0	19	0	55	0	0	0
CTRL-v	w10	runlast_L	rev	21	4	0	0	19	0	55	0	0	0
CTRL-v	w10	boldrun_first	fwd	10	1	0	0	0	0	0	0	0	0
CTRL-v	w10	boldrun_first	rev	10	1	0	0	0	0	0	0	0	0
CTRL-v	w10	boldrun_last	fwd	10	3	0	0	0	0	0	0	0	0
CTRL-v	w10	boldrun_last	rev	10	3	0	0	0	0	0	0	0	0
CTRL-v	w10	sent_emph_first	fwd	15	1	0	0	14	0	20	0	0	0
CTRL-v	w10	sent_emph_first	rev	15	1	0	0	14	0	20	0	0	0
CTRL-v	w10	sent_emph_last	fwd	15	4	0	0	7	0	10	0	0	0
CTRL-v	w10	sent_emph_last	rev	15	4	0	0	7	0	10	0	0	0
CTRL-v	w10	esent_first	fwd	15	2	0	0	14	0	20	0	0	0
CTRL-v	w10	esent_first	rev	15	2	0	0	14	0	20	0	0	0
CTRL-v	w10	esent_last	fwd	15	2	0	0	14	0	20	0	0	0
CTRL-v	w10	esent_last	rev	15	2	0	0	14	0	20	0	0	0
CTRL-v	w10	bar_all	fwd	47	9	5	1	140	0	767	2	0	0
CTRL-v	w10	bar_all	rev	47	9	5	2	140	1	767	6	0	0
CTRL-v	w10	orange	fwd	24	3	0	0	25	0	91	1	0	0
CTRL-v	w10	orange	rev	24	3	0	0	25	0	91	0	0	0
CTRL-v	w10	black	fwd	23	6	0	0	44	0	144	0	0	0
CTRL-v	w10	black	rev	23	6	0	0	44	0	144	0	0	0
CTRL-v	w10	white	fwd	0	0	0	0	0	0	0	0	0	0
CTRL-v	w10	white	rev	0	0	0	0	0	0	0	0	0	0
CTRL-v	w10	under_strike	fwd	9	1	0	0	0	0	0	0	0	0
CTRL-v	w10	under_strike	rev	9	1	0	0	0	0	0	0	0	0
CTRL-v	w10	sent_first	fwd	21	2	0	0	38	0	110	1	0	0
CTRL-v	w10	sent_first	rev	21	2	0	0	38	0	110	1	0	0
CTRL-v	w10	sent_last	fwd	21	3	0	0	38	1	110	2	0	0
CTRL-v	w10	sent_last	rev	21	3	0	0	38	0	110	0	0	0
