address	scripthash_hex	balance_sats	balance_btc
3Ew9u8rqfjxms5WpxqD58aRJK9edtzZyuT	0748bdad0bb9959eca51d0f48144176cfaabb04ef7572fab73ae83be0f3a1e3e	2011931044	20.11931044
bc1qel8ss6znqlq5w8ve8q44ztc2x6cu2gn3zn80xh	0788245f518c5f27af1ae6db1d449557bc65cf3a0a7e96c87a5bb861c82ad498	2000000547	20.00000547
bc1qmtssqtzc76j5xa574xcqtranmq4l2tcnuu5akm	078f688a8ee78e05de8bf4c1715f8aeee16b067bc6b40add7cc58e9aebc1bb9f	2000960000	20.00960000
1FJgUio2QUs1hkuHXmmD36oe2U4XnUzCje	079572da8620aef8f4cd9922ce9cadc1cd92b165de70f52fd945d6f822f85bdc	2040290541	20.40290541
16sRBjQCMLK98w5PSZ97jRYK3ey7w4B7Xa	07b12e37e8633dedb897c67f97f84f0c6d28eddf155cab8ddc9f37846bc11328	2000001641	20.00001641
16U57VUc4qg3LG8fRdSzCmKa2GdtjQ5t42	07bbc3dc413d4b9e38dfac601fb2e35dbaf0923908370fdd097cb3d938acb3f0	2000001641	20.00001641
1FaMfEVJZ81pbQKkRTTVViBTHxkuDZNX7Z	07cf29ba0bd80f21243bb7d5e2cfdea12e12db653386abe0c136f71bd2b5ec66	1990893086	19.90893086
3PuUMTZ6fcXC6wve4ASu2qwC26zkeqNx2A	07d0a259152c5506bc4534f06a319aeded4bb4a9c7902a83f261d0c8d4be8de1	2000000000	20.00000000
1FT4RdSBWvqLX75VD5hDm1X8CbWaRRegQx	07d5dbfafdd4c97b63760ab849d63a41dfd4da3e7da770a5a78e620c72fd3428	2000000547	20.00000547
3JCb7udxxBX9FozvMUSFmKEKUbncnKWeEK	0808e0216556cd58564ea2208744796cc224ad7d3f51a27a38614f66ade22e51	2000001094	20.00001094
3QhCmXXcoc1LZ8Lp9jaX3TuZ5MuYe61kaN	080b730dedcc38b57a8408e2499de8e2b35beae9509d7d19013e3ebbf5b9cbd9	2000010547	20.00010547
1AcTwCW1tpqj66zTnxNYiRseHvV9QMWeCD	081b6d75e7b0a3401dda490b6aa0e774425b4b17046191e425b6dfd5c49d96df	2004811747	20.04811747
1EJS5c2xcwkxkSiGDfHckPYHzswvqPin4L	0822d98cf20d6e91e4db20cca3b2daaad6cd5c3296b2bce91cf20af996519cae	1999980000	19.99980000
33rSKNtGgefUaYPp8rgzsVrsWqmK9tcghz	082e666e10d83b97c0d296108b0b605822b92c22ee2c5d21e69117014511a77a	1999900000	19.99900000
3JiM5vcQ3chU6VjeM7rZFtNyCcaE7xd1os	087f9340497e71d8cdac022b06a283b49fa7d10ab581d9c77afc176fe43c92c8	1999900000	19.99900000
1BJX2RisSQ2kwvBSUzJeS7EKjfCaKZQs3e	08ad354f92fd0d2c647fd535ea38a01fccf411b23dc52d0f3229cc94b9c15070	2001430332	20.01430332
14MezfMzFp7eenLQx53wmoRTMNquRqfT7W	08b0b264ca2d58ad5375c826bcee3125aa7d7c49db7916fa6e82a01f79848f80	2000001641	20.00001641
39d6rXKMZAu2n17NEoFmE7VRDUBWUbuEm3	08fd60852fe70f430ff308041c0e079d71b932ad56d1e0b84bb8fed9616080d5	2000000744	20.00000744
3HhaeHx8SSBrMnomLKJMGWYL9uCCrBC8en	093eb25f64e3f514ff50b8e2ae09bb7b9aae725979b1359617ee7daeb01db0d4	1982300547	19.82300547
1LLFJ5CW4gEFvAAMQBGZKGS485V8Gazc2y	09626a93e0f34a6c1169e4396029a45c6d28655a7775fafd59734ba77f01ecbd	2000000608	20.00000608
3LhH1h95kJATAJFVH2CGovNzCCHmZU3N1K	099f27e67db64bd5ebf6b3b60a971affbe6807e111509f70bbbc349a25ec8709	1956840000	19.56840000
12fb4ALHQzhaRJr7EtFxqYd9789zqdXvSt	09bdadf4a3410999707174cfe7c85c58ef5185c24ad192c79070ba626c6cf7d3	2010000548	20.10000548
1K698fd5icFMUc6AHDd1eVHFd19GMKW72j	09f6051e49184bfdca505a19718fcfccca4f116e2ededf9f6f34ec43b816fabf	2000000958	20.00000958
19X3sR5gzRYJoEmZmz8bwg89qygqFVRSst	0a2913bedddae24fbd3b6e196d58533cecd1b9d4e76db7c710288d2721843823	2000001094	20.00001094
1EFEKFnfRqe5XRU2ib8dsWg6mYaXw84Pz1	0a7e38faa52715ce5cb1a2a39f4e63c236829bde8098cd19be9813c136759440	2000000547	20.00000547
13xotYjy6LPv5u6WLZtiCfWPhPGWQpnARQ	0abd34bc1c608cfafdc4d943dc942f1831f6382472f70a25e664b78aba6298d1	1960000000	19.60000000
1K7xyr5rbAVSiHwdxPh7Cw4ZHY6W4fxrio	0ac434a97ffe7a41d38a2105ed44251ef72896aa5a4de947ed5d5b8b55f90e68	2000000547	20.00000547
1EgyfVTz5W2k6rVdCgaTBAR8BgS8LBXZMz	0ade5890dbfd543c04aecbd84a42d54bee6cf27a93bd4c75d26cfff66adfbcb2	2037362749	20.37362749
3PTzAAncgaWh9ooyzHrEMZ1MDjXmKFxTSy	0af13c8f63388a0cb045f8f781a46258fd67f262681a0144a9dda76674745645	2000001094	20.00001094
36GSkpTsSMitifWW3wycicay8hrguvZiHL	0afc20c0bc59c0934ac45f1865d8ea52368d0e14b6dc1e33c1143444a216763e	2000000000	20.00000000
1MUbCqeafPBtscchY9bTHMZq5bNmTxXQpD	0b061eb3a416f5b6dc6a8d14beccedba1806cefc3e27ac4636ee99aedb4d6639	2000002735	20.00002735
1ENtw4A3c8qMEkV1LrfVHQ7vEpbyyYaEu2	0b19f9fa43a744a054aae93971088bbe7f9caaaeecd982e353e795033c75e08e	2000001094	20.00001094
1Fwgrvv7GGukay8A1xJPAQLpB9DWiTKj9Q	0b2cf2d02ed6976309b2ae0cf8d3f9be4667884ea28171853a41e920ecd0fb18	2000000547	20.00000547
15ut77F1auMRpY4eY9bpqV1jFnh5FfpEBo	0b3542f13d4a79d41d8c899fa328726a85e00281eed639f3d4c884cdcb5416f6	2000002188	20.00002188
3EqEFYPmcRH1xZe1k7B2Wh2W4bHfQGdzom	0b4acc02ada435014bcf1bbe4809d632fc61d8dc5d89de5da628550bf3d70392	2000000000	20.00000000
18oqQx8Hv6ZA3NgyNA6tL1msaAwAozJ2DN	0b6449be707309f1861987fa33dfc441544338333151007356539a1ab0d7028a	2000023547	20.00023547
14mdZJuEJDTHhTUiPj5QDeqbacSGWTfuXw	0b6a5085b52ca6008f4cfad0a3cade51eb8aa38db81c5c084634af30664da4f1	1999374206	19.99374206
18WHUrNXDWoCX9SrTfhE2pe9zS1X1o1fNT	0b9064b2e600c1a4a5adb069b9adc0d5fdaa70882f9f0797fdbfc91be402e75f	2000000547	20.00000547
3Ns63Zz5jMnDYKAn9wa3Hd4cS4C4S7TWcj	0b94b993c45a924006ed5fd4975117a87a4df9f56e82016d76901c8a5121ffb5	2019348711	20.19348711
