address	funding_txid	block_height	block_time	value_sats	value_btc	script_type	priority_tier	tier_name	fr1_window	fr3_confirmed
1PHUgt9D3LHY7KXJQTevBaGfj5rx9etKe1	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1PZPX5jc9fTLNwX5z9zTAbp4oic9jEghUW	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Q7kHGPCrMWgB16EvhZpqSovc1LLPo3o28	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1QJr9yGocxK5RUsowH7zewfZNkExckEixj	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1QKpgd2VjDdBRkWdvJQyVPbpkNUTQutk5E	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1fUejUxqCWqEjt5wvsAnr3p5KrytNRT53	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1kLnaZMaZKWKoaxoPuM73B24iJjhXDkEB	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1x495Vm3bgwiKi8gDZN7Ggjd2GQxSj32b	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
31qx6q7PodNDkPAtPMgejDpB65ALvMkzcA	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
327uTRES6ThXupKUAt1Xuk2pD9BiZaZ4wT	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
32GkxBeLokky8iPR7SQAvYMPG9NX6mb8VH	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
32mJ5jPnNEviYwVxg6z4h6erGWVfAKQRo7	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
32oEU9zdyosApkHBZatJ9pXVBhtAb4aqQ3	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
32uNa39bPQZdLDVTwAQ5H3Y6PRXJ1dcLGe	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3353imU3xBKYGC7V9489oUYGXHyxGRPLns	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
338BstqZDKjt5jAygxovHpdntn4ifdCa5N	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
33E8jVCz7yFng4deb1frDuZYgcDCc61oUD	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
33bbC3yPc2AXQqH1xpYqMyYT5npEjcmGsg	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
33rvDNMLenQUz4uACdnSdLLnaMS2eZwWjc	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
345QTSRYrwCR44eeRJU76ei6fLTA41JgiQ	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
3473yC1DHwndsQmuLFDFM61nkZQWy8d98N	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34AacNo6VzUafa8VmNiyCAJwQUe5Apzi2Z	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34LPTSw5JFaStWj6v2qWGWCmmp6Zx6cJJG	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34VAUD1kgWe9Wg7y6mtLCGAGVXmuM5eWBB	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34W1rMm2K6AV8tyvSDTDqFHyvd1f6mGBNX	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34abhsSbnsmugsYeV31bfUWRc4kPUDAHAs	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34gyRWWXEw3qf3qPJorV1FwU2LkrBuxRGw	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34icrTj33cZnG4diwLptbp21F9sDP37Hyz	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34n8KrpPTNv5ozRu9wFn9rZsqqFzMQ8c1n	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
34vUZyznjeVjbxeoyvZyJRUktePmsXxEiT	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
356bt3Bk71DqJFVPk5zxhGuLo6zXSo9fNR	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
35TxW1Z1eeSVKCSRQMtuR9CS7AYcNUsM5J	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
35c4TWPXHuE6vhcwTkYmjpzmT43T2Ps7AJ	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
35gr57wvYUciU6GXcV68vPq8Um6pK5fg47	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
35pMXgHAnwvwQJeouurgauF2Fk3JKw3q1D	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
364HKyxxTaBsPv3DAoKv9HhmWjqm2pEtDH	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
36HYd7BKsfXBiqcgJghJ2PS7TfPsLk9MTf	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
36mxxJgFDzuN1mQBfqJ4E4dshWr2KeuCTT	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
36oR5rxAuS2FsyCkRGtwcd56b2D8cKn4q2	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
36sXgpaHSQh68BLm21EUMsiEoVJZxfnNiN	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
37EEeWB2r5HWYQQqXWMNBoZMLMmSCWsUuJ	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
37MoiJv6vKv9d7cQBuRDftpAX8Syg1RboD	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
37QJFVm9uJUXSTuot2njxJ86NSuW5fAVdY	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
37QgaSZdKwKMEUifWWH3V9vwMSt9taeAoV	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
37Zjp3GnSnwFMfg5YZJHybg56kVsYySzVq	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
38NTSUQUoWTUCKNkzzAqrXNHxd8zRwqNpc	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
38ZtF5byghz87e49w9JbaNRVHFgHqv7nYM	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
38aDwLX5B7xm8HuHzUs5Bz6t755zL6LtQF	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
38msavurg7zGUe63Wb5AETrdXTm8LNhTWK	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
38nry8YcmTnENCaShcmVXYGft3ZU9HY9sM	PENDING	PENDING	PENDING	2000000000	20.00000000	p2sh	2	exact-20 + P2SH	PENDING	PENDING
